First Name,Second Name,Company,Position,Description,Tags
Angela,Shen-Hsieh,Telefónica,"Director, Predicting Human Behaviour",,Applied AI
Chema,Alonso,Telefónica,Chief Data Officer,"Chema Alonso is currently the CDO – Chief Data Officer – at Telefónica. In this position he heads the company’s Big Data strategy, Advertising and the Fourth Platform. As part of the work to define the Fourth Platform, he also leads the Personal Data Bank team and is the main internal promoter of the Data Transparency Lab. He is also responsible for global cybersecurity and data security, having created the new Global Security Unit with the Information Security Global Business in B2B & B2C and Eleven Paths.

He was previously the founder and CEO of Eleven Paths, a subsidiary of Telefónica Digital focusing on innovation in security products, and General Manager of Global Security Business in the B2B unit of Telefónica Business Solutions. Before joining Telefónica in 2013, he spent 14 years working for and directing Informática 64, a company focusing on computer security and training. He obtained doctorates in Computer Security at the King Juan Carlos University of Madrid, Computer Engineering at the same university and IT Systems Engineering at the Polytechnic University of Madrid, an institution which appointed him Honorary Ambassador of the University School of Computer Science in 2012. Since 2009 he has also directed the Master’s Degree in Information Security at the European University of Madrid.

He is the author of several books and other works specializing in cybersecurity and a director representing Telefónica at Alise Devices, a company supported by Telefónica by means of its Wayra startups acceleration programme and a developer of anti-counterfeiting technology, chiefly made up of engineers from the Polytechnic University of Madrid.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentNetwork TechnologyNext Generation NetworksApp/Software DevelopmentFuture Services Provider
Chema,Alonso,Telefónica,Global Director Technology & Architecture GCTIO,,Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSCloud ServicesThe Network
Laura,Abasolo,Telefónica,Group Chief Financial Officer,,
Patrick,Lopez,Telefónica,Director Customer Centric Networking,,User ExperienceConnected Living – mHealthConnected Living – HomesNetwork TechnologySecurityDevicesIoTEducationTech in Society
Vicente,Muñoz,Telefónica,Chief IoT Officer,,
Vicente,Muñoz,Telefonica and ElevenPaths,Security Researcher ,,
Vicente,Muñoz,Telefonica Data Unit ,Senior Data Scientist and Head of the Big Data for Social Good area ,"Dr. Pedro A. de Alarcon is senior data scientist and head of the Big Data for Social Good area in LUCA, the Telefonica Data Unit. His profile is a mixture of technical skills in the Data Science field with Business Development and Product Marketing. He has a Master Degree in Computer Engineering. In 2002 he obtained a PhD degree on Bioinformatics. His academic research on machine learning and content retrieval is supported by many publications in technical magazines and conferences. In 2003 he was one of the founders of Integromics, a successful startup that develops machine learning software for de Life Sciences. He joined Telefonica in 2007, with managing roles on innovation projects, product marketing and Data Science (Video Advanced Analytics).",
Elena,Lizasoain,Telefonica Group,"CEO, LUCA Data Driven Decisions & Global Director, Big Data B2B","As the Global Director for Big Data B2B at the Telefónica Group and CEO at LUCA Data Driven Decisions. Elena’s responsibility is to help  corporate customers on their Big Data adoption journey, enabling them to become data-driven companies, providing an extensive portfolio of cutting-edge Big Data solutions.

Elena holds a degree in Economics and Business studies from Deusto University (Spain) and an MBA from MIT-Sloan School of Management (USA). She has also completed studies at Berkeley University (USA) and EDHEC de Lille (France).

Elena joined Telefonica in 2000. Since then, she has held prominent managerial positions at Telefónica International and Telefónica Latinoamérica, in the units of Large Corporations, Small and Medium Enterprise (SME) and Consumer businesses. From 2014 to 2016, Elena was the BI & Big Data Global Director at Telefonica Group, responsible for leveraging customer insights for internal use and external monetization, leading the transformation of Telefónica into a data-driven company.

Before joining Telefonica, she worked for McKinsey and HI Holding – Iberdrola (Spain) and Mitchel Madison Group (USA).",Tech in Society
Carlos,Carazo,Telefonica IoT Group ,Global CTO,"Carlos is the Global CTO of Telefonica IoT Group since 2015, focusing on offering IoT solutions for the 20 countries in which Telefonica is operating. Prior to this position, Carlos was Board Member of Telefonica for 6 years, and delivered On The Spot Services as CTO&COO of the company. Carlos joined Telefonica in 1995 coinciding with the takeoff of the mobile industry, with responsibilities related to the launching of P&S in several sectors: intelligent networks, mobile internet, financial services and mobile advertising.",
Carlos,Carazo,Telefonica IoT Group ,Global CTO,"Carlos is the Global CTO of Telefonica IoT Group since 2015, focusing on offering IoT solutions for the 20 countries in which Telefonica is operating. Prior to this position, Carlos was Board Member of Telefonica for 6 years, and delivered On The Spot Services as CTO&COO of the company. Carlos joined Telefonica in 1995 coinciding with the takeoff of the mobile industry, with responsibilities related to the launching of P&S in several sectors: intelligent networks, mobile internet, financial services and mobile advertising.",
Carlos,Marina,Telefónica On The Spot Services,CEO,"During his professional career, Carlos Marina has developed different responsibility roles in new technology sector marketing areas such as France Telecom Group or Informatica El Corte Ingles.

In 2000, Carlos Marina joined Telefónica Group, and after several responsibilities, in 2010 he became Marketing and Sales Director at onthespot.

In October of 2015, he assumed the charge of onthespot Chief Executive Officer within the Telefonica IoT organization, accepting the challenge to consolidate Telefonica leadership in the digitalization of physical spaces, to improve in-store customers experience and to facilitate the communication between the brands and their clients with innovative end-to-end solutions.",The Digital Consumer
Ana,Segurado,Telefónica Open Future,MD,,Innovation
Carlos,Blanco,Telefónica S.A.,"Global Head, Public and Regulatory Affairs",,
Michael,Hagspihl,Telekom Deutschland GmbH,Director Consumer ,"Michael Hagspihl is Director of Consumer at Telekom Deutschland GmbH since March 1, 2015.

Prior to that, he was Director Marketing at Telekom Deutschland GmbH and responsible for consumer sales, business and wholesale markets, which also included the centers value-added services and wholesale as well as the brand Congstar.

In 2011 he was Senior Vice President of Global Strategic Partnerships. He promoted the strengthening and development of strategic partnerships with important industrial players and thereby underscored Deutsche Telekom’s position as premium provider in the telecommunications market.

From 2009 to 2011, Michael led the International Terminal Management department of Deutsche Telekom AG. In this position, he was responsible for the subscriber terminal strategy, as well as for the portfolio and product management of all national companies of Deutsche Telekom.

Michael Hagspihl started his professional career at T-Mobile in 2000. He was responsible for the development of partnering management for the mobile portal T-Motion in Germany and other European national companies. He also introduced the open internet for mobile devices through the web’n’walk brand.

Before joining T-Mobile, Michael worked as Sales Director at Philips Consumer Communication and held various marketing positions at Bosch, Siemens and Miele.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSApp/Software DevelopmentFuture Services Provider
Sajid,Rahman,Telenor,"CEO, Telenor Health","Mr. Sajid Rahman is Chief Executive Officer of Telenor Health at Telenor Group. Telenor health is a purpose driven company, fully owned by Telenor group. The company is built to deliver quality, data driven health care in emerging markets. Telenor Health launched its first proposition, Tonic,  in Bangladesh and currently serves millions of people.
Sajid is also an experienced international banker with exposures in emerging markets of South-Asia, Africa, Middle-East and South-East Asia and worked for Standard Chartered Bank.  He managed banks at board level at different countries, including taking them through M&A.
He is a director at Founder Institute. He is a mentor at Endeavor Indonesia, a US-based organization accelerating the growth of mid-size companies to billion dollar businesses. He is an active angel investor and member at the board of a number of technology and renewable energy  companies in Asia and Europe.
He is also a speaker and author. He is featured at Bloomberg, Financial Times, Tech Crunch and many other international outlets.  His writes regularly on topics ranging from technology trends, renewable energy, corporate turnarounds, leadership and personal development.
To read his blogs and contact him visit www.sajidrahman.com",Big Data & AnalyticsUser ExperienceEnterprise & Business ITConnected Living – WearablesConnected Living – mHealthGaming/Virtual Reality/ARSecurityDevicesTech in Society
Mats,Lundquist,Telenor Connexion,CEO,"Mats Lundquist has worked in the IT and telecom industry for more than 15 years. Prior to taking on the position as CEO at Telenor Connexion in September 2015, he served as Head of Telenor Sweden’s Broadband & TV division. Mats joined Telenor in 2007. Prior to this he held positions as CEO at TDC Song, Song Networks and Vattenfall’s telecom business. Mats holds a Master of Science from Stockholm School of Economics.",The Fourth Industrial Revolution
Sigve,Brekke,Telenor Group,President & CEO,"Sigve Brekke is the President & CEO of Telenor Group. He joined Telenor in 1998 as an Advisor, and was in 1999 employed as Manager Business Development and later Managing Director of Telenor International, Region Asia. Mr. Brekke served as co-Chief Executive Officer of dtac from 2002 to 2005, and Chief Executive Officer in dtac from 2005-2008. He most recently served as Executive Vice President and Head of Asia Region, prior to his appointment to President and CEO. Before joining Telenor, Mr. Brekke has served as the State Secretary (Deputy Minister) of Defence in Norway in 1993, and has also held position as an associate at the Center for Science and International Affairs, at Harvard University, USA. Mr. Brekke holds a Master degree in Public Administration from John F. Kennedy School of Government, Harvard University.",Tech in Society
Berit,Svendsen,Telenor Norway,CEO,,Tech in Society
Bjorn,Moen,Telenor Norway,CMO Mobile,"Bjørn Ivar Moen is the leader of Telenor’s Mobile Division in Norway. Under his leadership Telenor has been one of the more successful mobile operators in Europe, delivering strong results by combining a strong brand portfolio with streamlining of processes through digitization. According to Ookla, Norway currently has the fastest Mobile Internet in the world. http://www.speedtest.net/insights/blog/norway-fastest-mobile-2017/

Moen, who claims to be an entrepreneur for change, is a graduate engineer, and before joining Telenor in 2000, he worked at ABB within international sales and distribution of fiber optics and computer networks. In Telenor he has led the product division, Telenor Business and Telenor's fixed-line business in Sweden.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentNetwork TechnologyNext Generation NetworksApp/Software DevelopmentFuture Services Provider
Gabriela,Sjöman,Telia Company,VP Group Networks,,
Gustav,Berghog,Telia Company,Commercial Product & Operations Director,,Applied AI
Marie,Ehrling,Telia Company,"Chairwoman, Securitas, Chair of the Board","Ms. Ehrling was President of TeliaSonera’s Swedish operations between 2002 and 2006. During 1982 – 2002, she worked for SAS Group, holding various executive positions including Deputy CEO and Head of SAS Airline. Ms. Ehrling is Chair of Securitas AB, Vice-Chair of Nordea Bank AB and Vice-Chair of Axel Johnson AB.
She is elected member of Royal Swedish Academy of Engineering Sciences (IVA) and Chair Advisory Board Stockholm School of Economics. Marie Ehrling holds a BSc in Business and Economics and an Honorary Doctorate.",Future Services Provider
Jane,Beelen,Telstra,Executive Director - Regulatory Affairs,,The Fourth Industrial Revolution
Robyn,Denholm,Telstra,Chief Operating Officer,"Robyn Denholm is Telstra’s Chief Operations Officer overseeing the design, construction, operation, maintenance and security of Telstra’s networks, information technology systems and facilities. She is also responsible for the Customer Service Management team including Telstra’s field technical workforce and for the delivery of Telstra’s commercial agreements with nbn co and strategic Networks for the Future and Digitisation programs. 

Robyn joined Telstra in January 2017. Prior to joining Telstra she was Executive Vice President, Chief Financial Officer and Chief Operations Officer of global networking equipment and software security firm, Juniper Networks. Robyn was the Chief Financial Officer at Juniper from 2007 to mid-2016 and over that time Juniper’s revenues more than doubled and following a 2014 restructure the company achieved record revenue and profitability.

Prior to Juniper, Robyn held roles in the United States and Australia with Sun Microsystems, Toyota and Arthur Andersen.

Robyn is a Board member of renewable energy and electric vehicle company Tesla Inc. and was formerly on the Board of the Swiss robotics, power and automation technology company ABB.

Robyn has been on the California National Diversity council list of Top 50 Most Powerful Women in Technology, was named a Woman to Watch by Global Telecoms Business in 2017 and was awarded the Commonwealth Club Distinguished Citizen Award in 2016. 

She holds a bachelor's degree in economics from the University of Sydney and a master's degree in commerce from the University of New South Wales and is a Fellow of the Institute of Chartered Accountants ANZ.",
Alastair,MacLeod,Teralytics,CEO,"Alastair MacLeod is a sales-driven technology business leader with a wealth of experience in data services, telecommunications and platform software at a range of private equity backed technology companies. His knowledge spans multiple industries, sizes and ownership structures in the UK and globally.

He previously held positions as the CEO of EurotaxGlass, Managing Director at Solera and the UK Vice President of Business Services with Orange. Alastair also has extensive
experience advising top investors, boards and management teams on turnaround, growth and performance acceleration of tech companies.

Alastair is a graduate of the University of York and the London Business School. An avid sailor and motorbiker, he lives outside of London with his wife, son and daughter.",The Fourth Industrial Revolution
Jean,Bienaime,The 5G Infrastructure Association (5G-IA),Secretary General,,The Fourth Industrial Revolution
Alexandra,Willis,"The All England Club & The Championships, Wimbledon","Head of Communications, Content & Digital",,Content & Media
Nicole,Jackson,The Guardian,"Deputy Editor, VR",,Content & Media
Jennifer,Schenker,The Innovator,Founder & Editor-in-Chief,"Jennifer L. Schenker has been covering the technology sector from Europe since 1985, working full-time, at various points in her career for The Wall Street Journal Europe,Time magazine, the International Herald Tribune, Red Herring and BusinessWeek. She left BusinessWeek to create Informilo, a web site and print magazine about the global tech industry. Under Jennifer’s leadership Informilo published 42 print magazines in 14 countries and launched subscription and conference businesses. She sold her sales in Informilo in April 2016 and is currently working on the launch of a new publication called The Innovator that aims to explain digital disruption to senior executives at multinational corporations and connect them to the start-ups that are disrupting them.",Innovation
Joan,O’Connor,Think Purple,Director,,
Joan,O’Connor,Think Purple,"Executive Coach, Facilitator and Consultant",,
Elaine,Carey,Three Ireland,Chief Commercial Officer,,Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesOSS/BSSApp/Software DevelopmentFuture Services Provider
Stephen,Reidy,Three Ireland,CIO,,Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityApp/Software DevelopmentFuture Services Provider
Andy,Tiller,TM Forum,EVP Collaboration & Innovation,"Andy joined TM Forum in 2017 to lead the industry organization’s collaboration programs, comprising 13 R&D projects accelerating digital business transformation in the communications industry together with a series of practical proof-of-concept ‘Catalyst’ projects.  He has over 25 years’ experience in product marketing and product management for telecom suppliers and technology companies, most recently with Chinese BSS/OSS supplier AsiaInfo where he built an international product strategy, established a global marketing function and set up the company’s operations in Europe.  Previously, Andy held senior positions at ip.access (where he was also a founding board member and director of the Small Cell Forum), ShoZu, and Geneva Technology.",Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSCloud ServicesThe Network
Joe,Scartz,TPN,"Managing Director, Digital Commerce & Integration","Joe Scartz is TPN’s managing director, digital commerce & integration and is responsible for the agency’s digital marketing and commerce team. Scartz has more than 15 years in marketing with significant digital marketing and ecommerce experience working with some of the biggest brands in the world such as Nissan, Budweiser, Hyatt, Moen, QVC, Clorox, and many others.  Prior to TPN, Scartz was president at Digital BrandWorks. There, he oversaw marketplace and ecommerce strategy and services for clients who sold direct to consumers and through major etailers like Amazon.  Prior to Digital BrandWorks, Scartz spent eight years at Omnicom-owned digital agency Critical Mass where he served as SVP / General Manager of the Chicago office. He has an MBA from Loyola University in Chicago and lives in Chicago with his wife and daughter.",Marketing/AdvertisingApp/Software DevelopmentContent & Media
Natalie,Egan,Translator,CEO & Founder,,
Mike,Tuckett,Transport for London,Head of Transformation Delivery,,Big Data & AnalyticsmBanking/FinanceUser ExperienceConnected Living – WearablesMarketing/AdvertisingLocation Based ServicesConsumer goodsIoTThe Digital Consumer
Lauren,Wiener,Tremor Video DSP,CEO,"Lauren Wiener is the CEO of Tremor Video DSP, the leading programmatic video platform helping advertisers tell captivating brand stories to create meaningful, personalized moments with prospective customers. Prior to Tremor Video DSP, Lauren was president of buyer platforms at Tremor Video, where she led business strategy, revenue generation and marketing for the company’s demand-side platform. Her two decades of experience partnering with the world’s leading brands on the buy-side and sell-side inform her strategic vision of programmatic video built for storytelling. In previous roles, Lauren was a key driver of innovation and revenue growth at fast-growing media and technology companies, as well as a corporate development expert and strategy consultant at several premier global firms. She lends her expertise to various boards of directors, with current positions on the Internet Advertising Bureau (Chairman of the Board 2016 to 2017) and the International Radio and TV Society.",Connected Living – HomesMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesContent & Media
Isabelle,Droll,TUI Fly,CIO,"Isabelle Droll is Director of Aviation IT in the TUI Group and CIO/ Director of IT and Business Performance Management at TUIfly in Germany. As Director of Aviation IT she is responsible for the “digital merger” of the five TUI airlines which includes the harmonization of systems and applications as well as driving the technological development. Alongside leading the digital transformation of all TUI airlines, and due to her CIO role particularly at TUIfly, she also has the responsibility for the optimization of the project portfolio at TUIfly. Previously, she held various positions within the TUI Group. As Director Inhouse Consulting and New Business she was responsible for Business Intelligence, business process management, project portfolio management and innovation management at TUI Germany (tour operator). In addition, she held further positions in the field of BI as well as Finance & Controlling. Isabelle Droll holds a master’s degree in business administration from Georgia Tech University – Atlanta USA. Studies abroad at Newcastle University/ Grenoble Graduate School of Business and participation in conferences such as the Gartner Conference in Barcelona have shaped her career.",Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityApp/Software DevelopmentFuture Services Provider
Caner,Canak,Turkcell,Head of Digital Analytics - Business Analytics Solutions,Caner CANAK is Digital Analytics Manager at Turkcell and responsible for the data analytics team. He got his Master of Science degree in Management Information System at the CUNY Brooklyn College in New York. Caner has a deep knowledge of data monetization and analytics trends with over 10 years working experience.,
Kaan,Terzioglu,Turkcell,CEO,"Kaan Terzioglu has taken office as the CEO of Turkcell on April 1st, 2015. Under his leadership, the company has transformed itself into a digital operator, offering digital services as well as connectivity on mobile and fixed networks. In addition to its home country Turkey, Turkcell serves customers in 192 countries with its digital portfolio while Turkcell Group companies operate in North Cyprus, Ukraine, Belarus, Georgia, Moldova, Kazakhstan, Azerbaijan and Germany in addition to Turkey.

A member of the GSMA Board since 2015, Mr. Terzioglu is a vocal advocate of humanitarian causes and using the power of communication to the benefit of groups with special needs, including refugees, individuals with disabilities, exceptionally gifted children, and entrepreneurs. He has been elected as a Board Member of the GSMA Foundation, and serves on the Advisory Board of the Center for the Fourth Industrial Revolution of the World Economic Forum. In 2017, he was chosen as one of the 10 global private sector pioneers who have contributed to UN’s Sustainable Development Goals by the UN Global Compact.  

 Prior to joining Turkcell, Mr. Terzioglu was a Member of the Board of Directors at Akbank, Aksigorta insurance company, Teknosa technology retailer and CarrefourSA. Between 1999 and 2012, he worked in various international management positions at CISCO Systems where he served as the Team Leader of E-Commerce Strategies – EMEA, Sales Director of Advanced Technologies – EMEA, Managing Director of Technology Marketing Organization – EMEA, and the Vice President of Central and Eastern Europe.

 He started his career in Turkey in 1990 as an Independent Auditor and CPA at Arthur Andersen – a company where he subsequently worked as IT Strategies and Security Specialist (US), Leader of Information Management and Digital Strategy Services (Belgium), and Vice President of Consultancy Services Turkey Operations until 1999.",Big Data & AnalyticsUser ExperienceEnterprise & Business ITMarketing/AdvertisingMedia/Content/EntertainmentGaming/Virtual Reality/ARLocation Based ServicesNetwork TechnologyNext Generation NetworksSecurityApp/Software DevelopmentEducationCloud ServicesTech in SocietyFuture Services Provider
Kubra,Mutlu,Turkcell,Data Analyst - Business Analytics Solutions,"Kubra Mutlu is a data analyst within digital analytics team at Turkcell, where she works with Turkcell product teams and external customers to deliver advanced technologies that extract useful and actionable insights from digital data. Kubra holds a Master’s degree in Technology and Innovation Management from Brunel University in London.",
Teki,Falconer,UN Global Pulse,Member of the Data Privacy Advisory Group,"Teki is a Senior Partner at Nsiah Akuetteh & Co. a law firm based in Accra, Ghana that specialises in information technology and telecommunication law in Africa. She is privacy and data protection consultant and has previously worked for the Government of Ghana in the development of key legislations for the ICT sector including the National Communications Act, 2008 (Act 769), Electronic Communications Act, 2008 (Act 775) Electronic Transactions Act, 2012 (Act 772) and the Data Protection Act, 2012 (Act 843). She also worked in various capacities with regional bodies such as ECOWAS.  She was appointed the first Executive Director of the Data Protection Commission to facilitate the implementation of Ghana’s Data Protection Act and successfully set up the institution from a legal instrument to an internationally recognized body until her exit in July 2017.

She is a member of the UN Global Pulse Privacy Advisory Group; the Executive Director of Africa Digital Rights Hub (an NGO that promotes digital rights issues across Africa); and Executive Chairperson for AIM Solutions Ltd. (a business and compliance solutions software development company in Ghana).",The Digital Consumer
Ursula,Mueller,UN OCHA,"Assistant Secretary-General, Humanitarian Affairs and Deputy Emergency Relief Coordinator",,Big Data & AnalyticsUser ExperienceEnterprise & Business ITNetwork TechnologyNext Generation NetworksSecurityEducationTech in Society
Mark,Kaplan,Unilever,Sustainable Solutions,,Innovation
Phumzile,Mlambo-Ngcuka,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),United Nations Under-Secretary-General and Executive Director of UN Women,"Phumzile Mlambo-Ngcuka is United Nations Under-Secretary-General and Executive Director of UN Women. She was sworn into office on 19 August 2013 and brings a wealth of experience and expertise to this position, having devoted her career to issues of human rights, equality and social justice. Ms. Mlambo-Ngcuka has worked in government and civil society, and with the private sector, and was actively involved in the struggle to end apartheid in her home country of South Africa.

From 2005 to 2008, she served as Deputy President of South Africa, overseeing programmes to combat poverty and bring the advantages of a growing economy to the poor, with a particular focus on women. Prior to this, she served as Minister of Minerals and Energy from 1999 to 2005 and Deputy Minister in the Department of Trade and Industry from 1996 to 1999. She was a Member of Parliament from 1994 to 1996 as part of South Africa’s first democratic government.

Ms. Mlambo-Ngcuka began her career as a teacher and gained international experience as a coordinator at the World YWCA in Geneva, where she established a global programme for young women. She is the founder of the Umlambo Foundation, which supports leadership and education. A longtime champion of women’s rights, she is affiliated with several organizations devoted to education, women’s empowerment and gender equality.

She has completed her PhD on education and technology at the University of Warwick, United Kingdom.",Tech in Society
Kathy,Calvin,United Nations Foundation,President & CEO,,Tech in Society
Robert,Strayer,United States Department of State,Deputy Assistant Secretary for Cyber and International Communications and Information Policy,,Tech in Society
Ajit,Pai,United States Federal Communications Commission,Chairman,,Tech in SocietyFuture Services Provider
Jessica,Rosenworcel,United States Federal Communications Commission,Commissioner,"Jessica Rosenworcel returned as a Commissioner to the Federal Communications Commission on August 11, 2017 after being nominated by the President and unanimously confirmed by the United States Senate. Previously, Commissioner Rosenworcel served as an FCC Commissioner from May 11, 2012 to January 3, 2017 following her nomination by President Obama and unanimous Senate confirmation.

 

Commissioner Rosenworcel brings a decade and a half of public sector and private sector communications law experience to her position at the FCC. This experience has shaped her belief that in the 21st century strong communications markets can foster economic growth and security, enhance digital age opportunity, and enrich our civic life. Prior to joining the agency, Commissioner Rosenworcel served as Senior Communications Counsel for the United States Senate Committee on Commerce, Science, and Transportation, under the leadership of Senator John D. Rockefeller IV. She previously served in the same role on the Committee under the leadership of Senator Daniel K. Inouye. In this position, she was responsible for legislation, hearings, and policy development involving a wide range of communications issues, including spectrum auctions, public safety, broadband deployment and adoption, universal service, video programming, satellite television, local radio, and digital television transition.

Before joining the staff of the Committee, she served as Legal Advisor to former FCC Commissioner Michael J. Copps. She also served at the agency as Legal Counsel to the Chief of the Wireline Competition Bureau and as an Attorney-Advisor in the Wireline Competition Bureau.

 

Prior to entering public service, Commissioner Rosenworcel practiced communications law at Drinker Biddle and Reath.

Commissioner Rosenworcel is a native of Hartford, Connecticut. She is a graduate of Wesleyan University and New York University School of Law. She lives in Washington, DC with her husband Mark, and children Caroline and Emmett.",The Fourth Industrial Revolution
Michael,O’Rielly,United States Federal Communications Commission,Commissioner,,
Xavier,Ferràs,University of Vic – Central University of Catalonia,Dean of the Business School,,
James,O’Connor,USTTI - United States Telecommunications Training Institute,President,,
Carlos,D’Abuquerque,VALID,CEO,,
Tania,Peitzker,Velmai,Founder,,Applied AI
Christopher,Schlaeffer,VEON,Chief Commercial & Digital Officer,,User ExperienceMarketing/AdvertisingMedia/Content/EntertainmentGaming/Virtual Reality/ARLocation Based ServicesApp/Software DevelopmentCloud ServicesFuture Services Provider
Jean,Gonie,VEON,"Group Director, Public Policy",,Big Data & AnalyticsUser ExperienceSecurityConsumer goodsDevicesIoTThe Digital Consumer
Kathy,Grillo,Verizon,Senior Vice President & Deputy General Counsel of Public Policy & Government Affairs,,
Jacquelynn,Ruff,Verizon Wireless,"VP, International Government Relations and Policy",,Innovation
Amy,Gross,VineSleuth / Wine4.me,CEO,"Amy Gross is the Founder and CEO of VineSleuth/ Wine4.Me, the only company which uses sensory science and predictive analytics to help people find the right wines for them, personally. VineSleuth/Wine4.Me is an IBM Watson Ecosystem partner, integrating Watson APIs for easy-to-use retail interface offerings and smartphone applications.",The Digital Consumer
Jeff,Dodds,Virgin Media,MD,,Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentNetwork TechnologyNext Generation NetworksApp/Software DevelopmentFuture Services Provider
Mike,Lemberger,Visa,"SVP Product and Solutions, Europe","Mike Lemberger, Senior Vice President, Head of European Products.  Mike leads the European Product and Solutions Delivery group focused on developing and advancing new and existing products that support today’s payments and digital commerce ecosystem.  He has 20 years of experience in product and database design, development and implementation, and has managed the integration of custom data solutions across multiple industries, including: travel, lodging, dining, retail, communications, and entertainment.
Prior to joining Visa, Lemberger was Vice President of Analytic Capabilities and Data Partnerships for American Express Business Insights. Lemberger spent five years at GE Capital leading the Decision Sciences Infrastructure group, deploying data and insights across GE’s global consumer lending business. He started his career at American Management Systems (now CGI) delivering system and strategy consulting to global communication companies, including: British Telecom, Telstra, AT&T, and Verizon.
Mike holds a Bachelor’s degree in Industrial and System Engineering from Rutgers University.
Mike is an avid football player and an all-around sports junkie.  A New Yorker at heart he now lives in the London with his wife and three children.",The Fourth Industrial Revolution
Bill,Gajda,Visa Inc.,"Global Head, Strategic Partnerships and Innovation","Bill Gajda is the Global Head of Innovation and Strategic Partnerships, responsible for VISA’s Innovation programs and activities in Europe and CEMEA. He is also responsible for Visa’s global relationships with Mobile Operators and leads the ‘VISA Ready’ and Venture Capital programs. He began at VISA as the Global Head for VISA Mobile, responsible for VISA’s mobile product and commercial strategies and activities.

Prior to joining VISA, he was Chief Commercial Officer for the GSMA. In this role he was responsible for business development, as well as led the GSMA’s Mobile Money, Mobile Innovation, Mobile Advertising and Strategic Partner Programs.  Bill was previously Chief Marketing Officer at the GSMA, where he was responsible for the Mobile World Congress, as well as marketing, corporate communications and member services.

He has held other executive positions elsewhere in the telecom sector, including: Vice President, Corporate and Marketing Communications for TELUS Corporation, Vice President, Communications for Bell Canada International  and Global Brand Director for Ericsson in Stockholm.  His first career was in the Canadian public service, where he directed communications on constitutional affairs, international trade and environmental issues.

Bill serves as an Advisory Board Member at Apigee Corporation and Danal Inc.

Bill majored in Classics and History at the University of Alberta, and obtained an MBA from the University of Chicago.",Big Data & AnalyticsmBanking/FinanceUser ExperienceConnected Living – WearablesMarketing/AdvertisingLocation Based ServicesConsumer goodsIoTThe Digital Consumer
Beth,Susanne,Visions in Focus,Managing Director & Pitch Coach,"Since relocating to Europe from Silicon Valley in 2012, Beth Susanne has trained over 1.600 tech startups to pitch successfully to investors, clients and potential partners, and to access strategic resources that help them quickly adapt their service/product to the US & global market. 

 

Her clients have raised up to €2.1 billion in project funding, and have successfully doubled and quadrupled in size in two to three years. 

 

• €3.38M in funding raised on average by Beth's clients

• €7 billion in funding raised by Beth's clients to date

 

She has coached teams in two dozen countries worldwide, focused on a wide spectrum of opportunities from Digital, AI, IoT, Mobility, CleanTech, BioTech, MedTech, AgTech, FinTech, E-commerce and EdTech, to quantum physics and more. Her clients include the European Institute of Innovation & Technology (EIT), Yale and Singularity Universities, Barclays, Philips, Disney, Microsoft, RocketSpace SF/London, SLUSH, and The Next Web (TNW), among others. 

 

bethsusanne.com",Innovation
David,Tennenhouse,VMware,Chief Research Officer,"As VMware’s Chief Research Officer, David leads research & innovation activities that accelerate VMware’s technology leadership. These include: the research group; advanced development and incubation activities; joint research projects with technology partners; and the VMware academic program.  David also leads technology strategy activities related to the public sector.

 

Dr. Tennenhouse has a strong track record of driving innovation In industry, at Microsoft, Amazon/A9, and Intel; in government, at DARPA, and as a faculty member at MIT. He and his teams have made key contributions to: software-defined networking, radio and video; distributed computing; blockchain and the Internet of Things. 

 

David holds a B.A.Sc. and M.A.Sc. in Electrical Engineering from the University of Toronto and a Ph.D. from the University of Cambridge. He is a member of the ACM, an IEEE Fellow and a Member of the FCC’s Technology Advisory Council.",Innovation
Nkateko,Nyoka,Vodacom (Pty) Ltd,Chief Legal & Regulatory Officer,,Tech in Society
