Nevada Oil Plant MO USA,United States of America,Please Select,37.8494,-94.3465,22,Please Select,Please Select,"Vernon County, MO, USA",Please Select,1974-06-00,Aquila Networks-Missouri,100,,,,,,
New Halen Oil Plant AK USA,United States of America,Please Select,58.6665,-156.1786,1.5,Please Select,Please Select,"Lake And Peninsula County, AK, USA",Please Select,1983-01-00,I-N-N Electric Coop Inc,100,,,,,,
New Haven Harbor Oil Plant CT USA,United States of America,Please Select,41.2836,-72.9072,460,Please Select,Please Select,"New Haven County, CT, USA",Please Select,1975-07-00,PSEG Fossil,100,,,,,,
New Knoxville Oil Plant OH USA,United States of America,Please Select,40.5606,-84.2114,1.1,Please Select,Please Select,"Auglaize County, OH, USA",Please Select,2000-09-00,New Knoxville Village of,100,,,,,,
New Lisbon Oil Plant WI USA,United States of America,Please Select,43.9275,-90.1124,8.9,Please Select,Please Select,"Juneau County, WI, USA",Please Select,1966-01-00,New Lisbon City of,100,,,,,,
Newberry Oil Plant MI USA,United States of America,Please Select,46.4735,-85.5375,5.5,Please Select,Please Select,"Luce County, MI, USA",Please Select,1974-06-00,Newberry Water & Light Board,100,,,,,,
Newington Oil Plant NH USA,United States of America,Please Select,43.0986,-70.7842,414,Please Select,Please Select,"Rockingham County, NH, USA",Please Select,1974-06-00,Public Service Co of NH,100,,,,,,
Newman Oil Plant PA USA,United States of America,Please Select,40.0042,-75.1414,1.8,Please Select,Please Select,"Philadelphia County, PA, USA",Please Select,1964-05-00,Newman & Co Inc,100,,,,,,
Nichols Road Power Plant Oil Plant CA USA,United States of America,Please Select,38.0432,-121.987,20.5,Please Select,Please Select,"Contra Costa County, CA, USA",Please Select,1990-03-00,Harbert Management Corporation,50,,,,,,
Noorvik Oil Plant AK USA,United States of America,Please Select,67.0586,-159.7075,1,Please Select,Please Select,"Northwest Arctic County, AK, USA",Please Select,1984-04-00,Alaska Village Elec Coop Inc,100,,,,,,
North Branch Oil Plant MN USA,United States of America,Please Select,45.5029,-92.9044,6.7,Please Select,Please Select,"Chisago County, MN, USA",Please Select,1960-10-00,North Branch Water & Light Comm,100,,,,,,
North Main Street Oil Plant CT USA,United States of America,Please Select,41.4887,-72.103,19,Please Select,Please Select,"New London County, CT, USA",Please Select,,Norwich City of,100,,,,,,
North Oil Plant IA USA,United States of America,Please Select,41.3307,-94.471,3.6,Please Select,Please Select,"Adair County, IA, USA",Please Select,2002-01-00,Greenfield City of,100,,,,,,
North Plant Oil Plant IA USA,United States of America,Please Select,41.6867,-92.5339,2,Please Select,Please Select,"Poweshiek County, IA, USA",Please Select,2002-05-00,Brooklyn City of,100,,,,,,
North Pole Oil Plant AK USA,United States of America,Please Select,64.8082,-146.5635,121,Please Select,Please Select,"Fairbanks County, AK, USA",Please Select,1976-12-00,Golden Valley Elec Assn Inc,100,,,,,,
North Road Peak Oil Plant SC USA,United States of America,Please Select,33.4385,-80.798,14,Please Select,Please Select,"Orangeburg County, SC, USA",Please Select,1987-04-00,Orangeburg City of,100,,,,,,
North Texas Oil Plant TX USA,United States of America,Please Select,32.7783,-97.7783,71,Please Select,Please Select,"Parker County, TX, USA",Please Select,1958-06-00,Brazos Electric Power Coop Inc,100,,,,,,
Northeast Oil Plant MO USA,United States of America,Please Select,39.007,-94.3507,486,Please Select,Please Select,"Jackson County, MO, USA",Please Select,1972-05-00,Kansas City Power & Light Co,100,,,,,,
Northern Neck Oil Plant VA USA,United States of America,Please Select,37.9458,-76.7332,82.8,Please Select,Please Select,"Richmond County, VA, USA",Please Select,1971-07-00,Dominion Virginia Power,100,,,,,,
Northport Oil Plant NY USA,United States of America,Please Select,40.9231,-73.3417,1564,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1968-06-00,National Grid (KeySpan Generation),100,,,,,,
Northside Generating Station Oil Plant FL USA,United States of America,Please Select,30.3644,-81.6236,1407.1,Please Select,Please Select,"Duval County, FL, USA",Please Select,1966-03-00,JEA,100,,,,,,
Northway Oil Plant AK USA,United States of America,Please Select,63.8718,-143.3641,1,Please Select,Please Select,"Southeast Fairbanks County, AK, USA",Please Select,1997-12-00,Alaska Power Co,100,,,,,,
Nunapitchuk Oil Plant AK USA,United States of America,Please Select,60.9214,-159.7663,2.4,Please Select,Please Select,"Bethel County, AK, USA",Please Select,1976-01-00,Alaska Village Elec Coop Inc,100,,,,,,
Nymans Plant Oil Plant AK USA,United States of America,Please Select,57.1451,-153.4767,10,Please Select,Please Select,"Kodiak Island County, AK, USA",Please Select,1994-01-00,Kodiak Electric Assn Inc,100,,,,,,
Oak Bluffs Diesel Generating Facility Oil Plant MA USA,United States of America,Please Select,41.3896,-70.655,8.1,Please Select,Please Select,"Dukes County, MA, USA",Please Select,1969-01-00,Mirant Corp,100,,,,,,
Oakland Power Plant Oil Plant CA USA,United States of America,Please Select,37.6427,-121.8743,223.5,Please Select,Please Select,"Alameda County, CA, USA",Please Select,1978-11-00,Dynegy Inc,100,,,,,,
Oberlin Oil Plant KS USA,United States of America,Please Select,39.7811,-100.4573,6.9,Please Select,Please Select,"Decatur County, KS, USA",Please Select,1956-01-00,Oberlin City of,100,,,,,,
Ocracoke Oil Plant NC USA,United States of America,Please Select,35.5298,-76.2492,3,Please Select,Please Select,"Hyde County, NC, USA",Please Select,1991-04-00,North Carolina El Member Corp,100,,,,,,
Odessa Oil Plant MO USA,United States of America,Please Select,39.0639,-93.7931,7.3,Please Select,Please Select,"Lafayette County, MO, USA",Please Select,,Odessa City of,100,,,,,,
Ogden Oil Plant IA USA,United States of America,Please Select,42.0338,-93.9377,3.9,Please Select,Please Select,"Boone County, IA, USA",Please Select,1951-07-00,Ogden City of,100,,,,,,
Oliver Oil Plant MI USA,United States of America,Please Select,43.8377,-83.0246,13.5,Please Select,Please Select,"Huron County, MI, USA",Please Select,1970-01-00,Detroit Edison Co,100,,,,,,
Oneida Casino Oil Plant WI USA,United States of America,Please Select,44.4538,-87.9978,4,Please Select,Please Select,"Brown County, WI, USA",Please Select,1996-07-00,Wisconsin Public Service Corp,100,,,,,,
Orca Oil Plant AK USA,United States of America,Please Select,61.5695,-144.4363,7.1,Please Select,Please Select,"Valdez-Cordova County, AK, USA",Please Select,1984-10-00,Cordova Electric Coop Inc,100,,,,,,
Ord Oil Plant NE USA,United States of America,Please Select,41.5647,-98.9797,12,Please Select,Please Select,"Valley County, NE, USA",Please Select,1973-01-00,Ord City of,100,,,,,,
Orrville Peaking Oil Plant OH USA,United States of America,Please Select,40.8289,-81.8883,5.4,Please Select,Please Select,"Wayne County, OH, USA",Please Select,1999-07-00,American Mun Power-Ohio Inc,100,,,,,,
Ortanna Oil Plant PA USA,United States of America,Please Select,39.8442,-77.3511,27,Please Select,Please Select,"Adams County, PA, USA",Please Select,1971-05-00,Reliant Energy Inc,100,,,,,,
Osage Oil Plant IA USA,United States of America,Please Select,43.3564,-92.789,16.6,Please Select,Please Select,"Mitchell County, IA, USA",Please Select,1963-00-00,Osage City of,100,,,,,,
Osawatomie Oil Plant KS USA,United States of America,Please Select,38.562,-94.838,6.6,Please Select,Please Select,"Miami County, KS, USA",Please Select,,Osawatomie City of,100,,,,,,
Osborne Oil Plant KS USA,United States of America,Please Select,39.3504,-98.768,7.1,Please Select,Please Select,"Osborne County, KS, USA",Please Select,,Osborne City of,100,,,,,,
Osceola Oil Plant AR USA,United States of America,Please Select,35.7623,-90.0524,9.6,Please Select,Please Select,"Mississippi County, AR, USA",Please Select,1992-05-00,Osceola City of,100,,,,,,
Oswego Harbor Power Oil Plant NY USA,United States of America,Please Select,43.46,-76.53,1895.6,Please Select,Please Select,"Oswego County, NY, USA",Please Select,1975-06-00,NRG Energy,100,,,,,,
Oxford City of Oil Plant KS USA,United States of America,Please Select,37.2331,-97.469,6.7,Please Select,Please Select,"Sumner County, KS, USA",Please Select,1999-07-00,Oxford City of,100,,,,,,
P L Bartow Oil Plant FL USA,United States of America,Please Select,27.8694,-82.5997,717.1,Please Select,Please Select,"Pinellas County, FL, USA",Please Select,1972-05-00,Progress Energy Florida,100,,,,,,
PPG Industries Shelby NC Works Oil Plant NC USA,United States of America,Please Select,35.3292,-81.5493,4.2,Please Select,Please Select,"Cleveland County, NC, USA",Please Select,1972-01-00,PPG Industries Inc,100,,,,,,
PPG Industries Works 14 Oil Plant IL USA,United States of America,Please Select,39.8628,-88.9682,5.9,Please Select,Please Select,"Macon County, IL, USA",Please Select,1999-12-00,PPG Industries Inc,100,,,,,,
PPG Industries Works 4 Oil Plant TX USA,United States of America,Please Select,33.9832,-98.7032,6,Please Select,Please Select,"Wichita County, TX, USA",Please Select,1975-06-00,PPG Industries Inc,100,,,,,,
PPG Place Oil Plant PA USA,United States of America,Please Select,40.4672,-79.9871,2.3,Please Select,Please Select,"Allegheny County, PA, USA",Please Select,1990-05-00,Grubb & Ellis Management Services. Inc.,100,,,,,,
PPL Martin Creek LLC Allentown Oil Plant PA USA,United States of America,Please Select,40.6089,-75.4556,64,Please Select,Please Select,"Lehigh County, PA, USA",Please Select,1967-07-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek Harrisburg Oil Plant PA USA,United States of America,Please Select,40.4156,-76.7794,64,Please Select,Please Select,"Union County, PA, USA",Please Select,1967-03-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC Fishbach Oil Plant PA USA,United States of America,Please Select,40.7059,-76.2158,37,Please Select,Please Select,"Schuylkill County, PA, USA",Please Select,1969-08-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC Harwood Oil Plant PA USA,United States of America,Please Select,40.935,-76.0292,32,Please Select,Please Select,"Lehigh County, PA, USA",Please Select,1967-07-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC Jenkins Oil Plant PA USA,United States of America,Please Select,41.2814,-75.8178,32,Please Select,Please Select,"Luzerne County, PA, USA",Please Select,1969-08-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC Lock Haven Oil Plant PA USA,United States of America,Please Select,41.1189,-77.4706,18.5,Please Select,Please Select,"Clinton County, PA, USA",Please Select,1969-11-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC West Shore Oil Plant PA USA,United States of America,Please Select,40.1908,-76.9456,37,Please Select,Please Select,"Cumberland County, PA, USA",Please Select,1969-08-00,PPL Generation LLC,100,,,,,,
PPL Martins Creek LLC Williamsport Oil Plant PA USA,United States of America,Please Select,41.2358,-77.0083,32,Please Select,Please Select,"Union County, PA, USA",Please Select,1967-08-00,PPL Generation LLC,100,,,,,,
PPL Shoreham Energy LLC Oil Plant NY USA,United States of America,Please Select,40.8784,-72.8554,100,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,2002-07-00,PPL Generation LLC,100,,,,,,
PSEG Albany Generating Station Oil Plant NY USA,United States of America,Please Select,42.595,-73.7636,400,Please Select,Please Select,"Albany County, NY, USA",Please Select,,PSEG Fossil,100,,,,,,
PSEG Bayonne Generating Station Oil Plant NJ USA,United States of America,Please Select,40.6589,-74.0967,42.2,Please Select,Please Select,"Hudson County, NJ, USA",Please Select,1970-06-00,PSEG Fossil,100,,,,,,
PSEG National Park Generating Station Oil Plant NJ USA,United States of America,Please Select,39.8617,-75.1836,18.5,Please Select,Please Select,"Gloucester County, NJ, USA",Please Select,1969-06-00,PSEG Fossil,100,,,,,,
PSEG Salem Generating Station Oil Plant NJ USA,United States of America,Please Select,39.4625,-75.5333,2381.8,Please Select,Please Select,"Salem County, NJ, USA",Please Select,1977-06-00,Exelon Energy,42.59,,,,,,
PSEG Sewaren Generating Station Oil Plant NJ USA,United States of America,Please Select,40.5564,-74.2461,546.2,Please Select,Please Select,"Middlesex County, NJ, USA",Please Select,1948-12-00,PSEG Fossil,100,,,,,,
Palaau Power Oil Plant HI USA,United States of America,Please Select,20.866,-156.5713,15.1,Please Select,Please Select,"Maui County, HI, USA",Please Select,1996-06-00,Maui Electric Co Ltd,100,,,,,,
Panda Brandywine LP Oil Plant MD USA,United States of America,Please Select,38.6667,-76.8736,288.8,Please Select,Please Select,"Prince Georges County, MD, USA",Please Select,1996-10-00,Panda-Brandywine LP,100,,,,,,
Paris Oil Plant KY USA,United States of America,Please Select,38.2041,-84.2248,11.5,Please Select,Please Select,"Bourbon County, KY, USA",Please Select,,Paris City of,100,,,,,,
Parkdale Oil Plant TX USA,United States of America,Please Select,32.7769,-96.7228,340.6,Please Select,Please Select,"Dallas County, TX, USA",Please Select,,TXU Generation Co LP,100,,,,,,
Parkside Oil Plant IL USA,United States of America,Please Select,40.4908,-88.8473,6,Please Select,Please Select,"McLean County, IL, USA",Please Select,2000-07-00,Corn Belt Energy Corporation,100,,,,,,
Paulding Oil Plant MS USA,United States of America,Please Select,32.0226,-89.1172,20,Please Select,Please Select,"Jasper County, MS, USA",Please Select,1972-01-00,South Mississippi El Pwr Assn,100,,,,,,
Paxton Creek Cogeneration Oil Plant PA USA,United States of America,Please Select,40.4191,-76.7803,12.6,Please Select,Please Select,"Dauphin County, PA, USA",Please Select,1986-08-00,NRG Energy,100,,,,,,
Pebbly Beach Oil Plant CA USA,United States of America,Please Select,34.3209,-118.2212,9.3,Please Select,Please Select,"Los Angeles County, CA, USA",Please Select,1958-07-00,Southern California Edison Co,100,,,,,,
Pelican Oil Plant AK USA,United States of America,Please Select,58.2202,-136.6293,1.9,Please Select,Please Select,"Skagway-Hoonah-Angoon County, AK, USA",Please Select,1984-07-00,Pelican Utility,100,,,,,,
Pella Peaking Oil Plant IA USA,United States of America,Please Select,41.3355,-93.1017,28,Please Select,Please Select,"Marion County, IA, USA",Please Select,2003-06-00,Pella City of,100,,,,,,
Peru Oil Plant IL USA,United States of America,Please Select,41.3458,-88.8936,44.6,Please Select,Please Select,"La Salle County, IL, USA",Please Select,2002-05-00,Peru City of,100,,,,,,
Petersburg Oil Plant AK USA,United States of America,Please Select,56.6099,-132.7078,12.3,Please Select,Please Select,"Wrangell-Petersburg County, AK, USA",Please Select,,Petersburg City of,100,,,,,,
Pfizer Groton Plant Oil Plant CT USA,United States of America,Please Select,41.3319,-72.0792,32.5,Please Select,Please Select,"New London County, CT, USA",Please Select,1948-01-00,Pfizer,100,,,,,,
Pharmacia Oil Plant NJ USA,United States of America,Please Select,40.5572,-74.6185,4.8,Please Select,Please Select,"Somerset County, NJ, USA",Please Select,1986-09-00,Pharmacia Corp,100,,,,,,
Phelps Dodge Cobre Mining Oil Plant NM USA,United States of America,Please Select,32.7435,-108.375,2.4,Please Select,Please Select,"Grant County, NM, USA",Please Select,1982-01-00,Phelps Dodge Corp,100,,,,,,
Philadelphia Oil Plant MD USA,United States of America,Please Select,39.2986,-76.5636,82.8,Please Select,Please Select,"Baltimore City County, MD, USA",Please Select,1970-08-00,Constellation Energy Commodities Group,100,,,,,,
Phillips 66 Carbon Plant Oil Plant CA USA,United States of America,Please Select,38.0135,-122.2374,27.3,Please Select,Please Select,"Contra Costa County, CA, USA",Please Select,1983-12-00,ConocoPhillips,100,,,,,,
Phillips Oil Plant FL USA,United States of America,Please Select,27.3426,-81.3398,42,Please Select,Please Select,"Highlands County, FL, USA",Please Select,1983-06-00,Tampa Electric Co,100,,,,,,
Pine Street Oil Plant MI USA,United States of America,Please Select,43.8377,-83.0246,7,Please Select,Please Select,"Huron County, MI, USA",Please Select,1969-06-00,Sebewaing City of,100,,,,,,
Piqua Oil Plant OH USA,United States of America,Please Select,40.1328,-84.2347,81.1,Please Select,Please Select,"Miami County, OH, USA",Please Select,1940-01-00,Piqua City of,100,,,,,,
Pittsfield Oil Plant IL USA,United States of America,Please Select,39.6246,-90.8926,9,Please Select,Please Select,"Pike County, IL, USA",Please Select,1948-00-00,Soyland Power Coop Inc,100,,,,,,
Placid 12 Oil Plant MI USA,United States of America,Please Select,42.6646,-83.3872,13.5,Please Select,Please Select,"Oakland County, MI, USA",Please Select,1970-11-00,Detroit Edison Co,100,,,,,,
Plainview Muncipal Power Oil Plant NE USA,United States of America,Please Select,42.2622,-97.6011,5,Please Select,Please Select,"Pierce County, NE, USA",Please Select,1949-00-00,Plainview City of,100,,,,,,
Plant Four Oil Plant MI USA,United States of America,Please Select,46.4328,-87.6358,24,Please Select,Please Select,"Marquette County, MI, USA",Please Select,1979-05-00,Marquette City of,100,,,,,,
Plant No 1 Oil Plant NY USA,United States of America,Please Select,40.749,-73.589,13.2,Please Select,Please Select,"Nassau County, NY, USA",Please Select,,Freeport Village of Inc,100,,,,,,
Plymouth State College Cogeneration Oil Plant NH USA,United States of America,Please Select,43.9358,-71.8224,2.8,Please Select,Please Select,"Grafton County, NH, USA",Please Select,1994-04-00,Plymouth Cogeneration LP,42.8571,,,,,,
Point Beach Oil Plant WI USA,United States of America,Please Select,44.1203,-87.8043,1072.6,Please Select,Please Select,"Manitowoc County, WI, USA",Please Select,1970-12-00,We Energies,100,,,,,,
Ponca City Refinery Oil Plant OK USA,United States of America,Please Select,36.6931,-97.0869,18,Please Select,Please Select,"Kay County, OK, USA",Please Select,1947-09-00,ConocoPhillips,100,,,,,,
Port Allen Oil Plant HI USA,United States of America,Please Select,21.9461,-159.3755,99.5,Please Select,Please Select,"Kauai County, HI, USA",Please Select,1968-06-00,Kauai Island Utility Cooperative,100,,,,,,
Port Edwards Mill Oil Plant WI USA,United States of America,Please Select,44.4552,-90.0379,13.6,Please Select,Please Select,"Wood County, WI, USA",Please Select,1930-02-00,Domtar Inc,100,,,,,,
Port Everglades Oil Plant FL USA,United States of America,Please Select,26.0856,-80.1253,1664.8,Please Select,Please Select,"Broward County, FL, USA",Please Select,1971-08-00,Florida Power & Light Co,100,,,,,,
Port Jefferson Oil Plant NY USA,United States of America,Please Select,40.9503,-73.0786,498,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1958-11-00,National Grid (KeySpan Generation),100,,,,,,
Port Lions Oil Plant AK USA,United States of America,Please Select,57.1451,-153.4767,1,Please Select,Please Select,"Kodiak Island County, AK, USA",Please Select,,Kodiak Electric Assn Inc,100,,,,,,
Portage Oil Plant MI USA,United States of America,Please Select,46.8941,-88.687,22.6,Please Select,Please Select,"Houghton County, MI, USA",Please Select,1973-11-00,Upper Peninsula Power Co,100,,,,,,
Portland Oil Plant FL USA,United States of America,Please Select,30.6606,-86.1566,11,Please Select,Please Select,"Walton County, FL, USA",Please Select,1964-03-00,Alabama Electric Coop Inc,100,,,,,,
Portola Oil Plant CA USA,United States of America,Please Select,40.0022,-120.8378,6,Please Select,Please Select,"Plumas County, CA, USA",Please Select,1965-01-00,Sierra Pacific Power Co,100,,,,,,
Potter Station 2 Oil Plant MA USA,United States of America,Please Select,42.2314,-70.9747,106.4,Please Select,Please Select,"Norfolk County, MA, USA",Please Select,1977-04-00,Braintree Town of,92.8711,,,,,,
Pretlow Oil Plant VA USA,United States of America,Please Select,36.7264,-77.1076,3.2,Please Select,Please Select,"Southampton County, VA, USA",Please Select,2001-04-00,Franklin City of,100,,,,,,
Primghar Oil Plant IA USA,United States of America,Please Select,43.0838,-95.625,1.8,Please Select,Please Select,"O'brien County, IA, USA",Please Select,1972-01-00,Primghar City of,100,,,,,,
Princeton Oil Plant MN USA,United States of America,Please Select,45.9345,-93.6303,12.5,Please Select,Please Select,"Mille Lacs County, MN, USA",Please Select,1978-12-00,Princeton Public Utils Comm,100,,,,,,
Providence Memorial Hospital Oil Plant TX USA,United States of America,Please Select,31.7723,-106.2404,4.2,Please Select,Please Select,"El Paso County, TX, USA",Please Select,1987-03-00,Tenet Hospital Ltd,100,,,,,,
Puna Oil Plant HI USA,United States of America,Please Select,19.6013,-155.5212,39.1,Please Select,Please Select,"Hawaii County, HI, USA",Please Select,1988-08-00,Hawaii Electric Light Co Inc,100,,,,,,
Putnam Oil Plant MI USA,United States of America,Please Select,43.4693,-83.4165,13.5,Please Select,Please Select,"Tuscola County, MI, USA",Please Select,1971-06-00,Detroit Edison Co,100,,,,,,
Randolph Road Oil Plant WA USA,United States of America,Please Select,47.2033,-119.4515,32,Please Select,Please Select,"Grant County, WA, USA",Please Select,2001-08-00,PUD No 2 of Grant County,100,,,,,,
Rantoul Oil Plant IL USA,United States of America,Please Select,40.1428,-88.2037,29.9,Please Select,Please Select,"Champaign County, IL, USA",Please Select,,Rantoul Village of,100,,,,,,
Ravenswood Oil Power Plant NY USA,United States of America,Operating Fully,40.7605,-73.9447,2625,Please Select,Please Select,"Queens County, NY, USA",Please Select,1963-02-00,TransCanada,100,,,,,,
Rayne Oil Plant LA USA,United States of America,Please Select,30.2992,-92.4032,8.2,Please Select,Please Select,"Acadia County, LA, USA",Please Select,,Rayne City of,100,,,,,,
Red Bud Oil Plant IL USA,United States of America,Please Select,38.0537,-89.832,15,Please Select,Please Select,"Randolph County, IL, USA",Please Select,1968-07-00,Red Bud City of,100,,,,,,
Red Cloud Oil Plant NE USA,United States of America,Please Select,40.1701,-98.4942,6.2,Please Select,Please Select,"Webster County, NE, USA",Please Select,1950-01-00,Red Cloud City of,100,,,,,,
Rensselaer Oil Plant IN USA,United States of America,Please Select,41.0279,-87.1189,16.4,Please Select,Please Select,"Jasper County, IN, USA",Please Select,1950-01-00,Rensselaer City of,100,,,,,,
Reynolds Oil Plant IL USA,United States of America,Please Select,39.7615,-89.6644,17.5,Please Select,Please Select,"Sangamon County, IL, USA",Please Select,1970-11-00,Springfield City of,100,,,,,,
Rhode Island Hospital Oil Plant RI USA,United States of America,Please Select,41.8113,-71.4077,10.4,Please Select,Please Select,"Providence County, RI, USA",Please Select,1974-10-00,Rhode Island Hospital,100,,,,,,
Richmond Generating Station Oil Plant PA USA,United States of America,Please Select,39.9853,-75.0733,131.6,Please Select,Please Select,"Philadelphia County, PA, USA",Please Select,1973-06-00,Exelon Energy,100,,,,,,
Richmond Refinery Power Plant Oil Plant CA USA,United States of America,Please Select,37.9716,-122.0551,21,Please Select,Please Select,"Contra Costa County, CA, USA",Please Select,1936-01-00,Chevron Corp,100,,,,,,
Rio Pinar Oil Plant FL USA,United States of America,Please Select,28.5104,-81.3225,19.2,Please Select,Please Select,"Orange County, FL, USA",Please Select,1970-11-00,Progress Energy Florida,100,,,,,,
Riverwood 100 Building Oil Plant GA USA,United States of America,Please Select,33.9492,-84.5715,1.1,Please Select,Please Select,"Cobb County, GA, USA",Please Select,1989-01-00,ING Clarion Realty Services,100,,,,,,
Riviera Oil Plant FL USA,United States of America,Please Select,26.7653,-80.0528,620.8,Please Select,Please Select,"Palm Beach County, FL, USA",Please Select,1962-06-00,Florida Power & Light Co,100,,,,,,
Rochester 3 Oil Plant NY USA,United States of America,Please Select,43.1617,-77.6186,19,Please Select,Please Select,"Monroe County, NY, USA",Please Select,1969-06-00,Rochester Gas & Electric Corp,100,,,,,,
Rock Rapids Oil Plant IA USA,United States of America,Please Select,43.3815,-96.2128,2.5,Please Select,Please Select,"Lyon County, IA, USA",Please Select,1968-04-00,Rock Rapids Municipal Utility,100,,,,,,
Rockford Oil Plant IA USA,United States of America,Please Select,43.063,-92.7929,2.9,Please Select,Please Select,"Floyd County, IA, USA",Please Select,,Rockford City of,100,,,,,,
Rockport Oil Plant MO USA,United States of America,Please Select,40.4342,-95.4337,5.7,Please Select,Please Select,"Atchison County, MO, USA",Please Select,1964-04-00,Rockport City of,100,,,,,,
Rocky Ford Oil Plant CO USA,United States of America,Please Select,37.8949,-103.7086,10,Please Select,Please Select,"Otero County, CO, USA",Please Select,1964-06-00,Aquila Networks-Colorado,100,,,,,,
Rocky River Oil Plant SC USA,United States of America,Please Select,34.2198,-82.4572,3.7,Please Select,Please Select,"Abbeville County, SC, USA",Please Select,1941-01-00,Abbeville City of,100,,,,,,
Roseton Generating Station Oil Plant NY USA,United States of America,Please Select,41.5711,-73.9739,1242,Please Select,Please Select,"Orange County, NY, USA",Please Select,1974-12-00,Dynegy Inc,100,,,,,,
Rutland Oil Plant VT USA,United States of America,Please Select,43.5786,-73.0366,13.2,Please Select,Please Select,"Rutland County, VT, USA",Please Select,1962-12-00,Central Vermont Pub Serv Corp,100,,,,,,
S W Bailey Oil Plant AK USA,United States of America,Please Select,55.5641,-131.3782,25.9,Please Select,Please Select,"Ketchikan County, AK, USA",Please Select,,Ketchikan Public Utilities,100,,,,,,
Salisbury City of Oil Plant MO USA,United States of America,Please Select,39.5137,-92.9698,6.4,Please Select,Please Select,"Chariton County, MO, USA",Please Select,1983-06-00,Salisbury City of,100,,,,,,
Salmon Diesel Oil Plant ID USA,United States of America,Please Select,44.934,-113.9305,5,Please Select,Please Select,"Lemhi County, ID, USA",Please Select,1967-12-00,Idaho Power Co,100,,,,,,
Schuylkill Generating Station Oil Plant PA USA,United States of America,Please Select,39.9425,-75.1883,232.9,Please Select,Please Select,"Philadelphia County, PA, USA",Please Select,1958-07-00,Exelon Energy,100,,,,,,
Seadrift Coke LP Oil Plant TX USA,United States of America,Please Select,28.4792,-96.6448,7.6,Please Select,Please Select,"Calhoun County, TX, USA",Please Select,1983-11-00,Seadrift Coke L P,100,,,,,,
Seaford Oil Plant DE USA,United States of America,Please Select,38.6645,-75.3982,7,Please Select,Please Select,"Sussex County, DE, USA",Please Select,,Seaford City of,100,,,,,,
Selawik Oil Plant AK USA,United States of America,Please Select,67.0586,-159.7075,2.4,Please Select,Please Select,"Northwest Arctic County, AK, USA",Please Select,2003-06-00,Alaska Village Elec Coop. Inc,100,,,,,,
Seldovia Oil Plant AK USA,United States of America,Please Select,59.5631,-150.2779,4.5,Please Select,Please Select,"Kenai Peninsula County, AK, USA",Please Select,2004-12-00,Homer Electric Assn Inc,100,,,,,,
Seville Oil Plant OH USA,United States of America,Please Select,41.1156,-81.8925,5.4,Please Select,Please Select,"Medina County, OH, USA",Please Select,2001-06-00,OMEGAJV2,100,,,,,,
Seward Oil Plant AK USA,United States of America,Please Select,59.5631,-150.2779,13.3,Please Select,Please Select,"Kenai Peninsula County, AK, USA",Please Select,1965-04-00,Seward City of,100,,,,,,
Shawnee Oil Plant PA USA,United States of America,Please Select,41.0814,-75.025,20,Please Select,Please Select,"Monroe County, PA, USA",Please Select,1972-06-00,Reliant Energy Inc,100,,,,,,
Shelbina Power #1 Oil Plant MO USA,United States of America,Please Select,39.7989,-92.0793,4.6,Please Select,Please Select,"Shelby County, MO, USA",Please Select,1981-01-00,Shelbina City of,100,,,,,,
Shelbina Power #2 Oil Plant MO USA,United States of America,Please Select,39.7989,-92.0793,6.6,Please Select,Please Select,"Shelby County, MO, USA",Please Select,1992-04-00,Shelbina City of,100,,,,,,
Shelbina Power #3 Oil Plant MO USA,United States of America,Please Select,39.7989,-92.0793,3.6,Please Select,Please Select,"Shelby County, MO, USA",Please Select,2002-04-00,Shelbina City of,100,,,,,,
Shelby North Oil Plant OH USA,United States of America,Please Select,40.7739,-82.5322,1.8,Please Select,Please Select,"Richland County, OH, USA",Please Select,2000-06-00,OMEGAJV2,100,,,,,,
Shenandoah Oil Plant IA USA,United States of America,Please Select,40.7442,-95.1588,20,Please Select,Please Select,"Page County, IA, USA",Please Select,2000-04-00,MidAmerican Energy Co,100,,,,,,
Sherman Avenue Oil Plant NJ USA,United States of America,Please Select,39.5303,-75.0664,112.8,Please Select,Please Select,"Cumberland County, NJ, USA",Please Select,1991-05-00,Conectiv Energy Supply Inc,100,,,,,,
Shipman Oil Plant HI USA,United States of America,Please Select,19.6013,-155.5212,15,Please Select,Please Select,"Hawaii County, HI, USA",Please Select,1955-12-00,Hawaii Electric Light Co Inc,100,,,,,,
Shishmaref Oil Plant AK USA,United States of America,Please Select,64.8963,-163.975,1.1,Please Select,Please Select,"Nome County, AK, USA",Please Select,2004-06-00,Alaska Village Elec Coop. Inc,100,,,,,,
Shoreham Oil Plant NY USA,United States of America,Please Select,40.8803,-72.8434,71.5,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1971-07-00,National Grid (KeySpan Generation),100,,,,,,
