Word,Definition
staff,The employees of a company.
stag,"b""A stag deer of species Cervus nippon. (2)\nAn adult male deer.\nA colt, or filly.\n(by extension, obsolete) A romping girl.\nAn improperly or late castrated bull or ram \xe2\x80\x93 also called a bull seg (see note under ox).\nAn outside irregular dealer in stocks, who is not a member of the exchange.\nOne who applies for the allotment of shares in new projects, with a view to sell immediately at a premium, and not to hold the stock.\nThe Eurasian wren, Troglodytes troglodytes.\n(usually  attributive) An unmarried male, a bachelor; a male not accompanying a female at a social event.\nA social event for males held in honor of a groom on the eve of his wedding, attended by male friends of the groom, sometimes a fund-raiser.The stag will be held in the hotel's ballroom\nA stag beetle (family Lucanidae).2007, Eric R. Eaton, \xe2\x80\x8eKenn Kaufman, Kaufman Field Guide to Insects of North America (page 132)Members of the genus Pasimachus [\xe2\x80\xa6] can be confused with stag beetles [\xe2\x80\xa6] but stags have elbowed antennae.\n2007, Eric R. Eaton, \xe2\x80\x8eKenn Kaufman, Kaufman Field Guide to Insects of North America (page 132)Members of the genus Pasimachus [\xe2\x80\xa6] can be confused with stag beetles [\xe2\x80\xa6] but stags have elbowed antennae."""
stage,a high floor where some people perform while other people watch
stain,A stain is an ugly mark on a surface.
stairs,The plural form of stair; more than one stair.
stale,"b'stale (comparative staler, superlative stalest)\n(alcohol, obsolete) Clear, free of dregs and lees; old and strong.c. 1300, K. Horn (Laud), 383:Bi forn \xc3\xbee king abenche Red win to schenche And after mete stale Bo\xc3\xbee win and ale.c. 1386, Geoffrey Chaucer, Sir Thopas, 52:Notemuge to putte in ale, Whether it be moyste or stale\nc. 1300, K. Horn (Laud), 383:Bi forn \xc3\xbee king abenche Red win to schenche And after mete stale Bo\xc3\xbee win and ale.\nc. 1386, Geoffrey Chaucer, Sir Thopas, 52:Notemuge to putte in ale, Whether it be moyste or stale\nNo longer fresh, in reference to food, urine, straw, wounds, etc.1530, John Palsgrave, L\'\xc3\xa9claircissement de la langue fran\xc3\xa7aise, 325 2:Stale as breed or drinke is, rassis. Stale as meate is that begynneth to savoure, viel.c. 1550, Wyll of Deuill, C 2 b:New freshe blood to ouersprinkle their stale mete that it may seme...newly kylled.2012, Stephen Woodworth, In Golden Blood: Number 3 in seriesTo her surprise, Abe did not come to collect her for the usual morning inhabitation session with Azure. She did not see him until almost noon, when he personally delivered lunch to her tent. Another stale roll and cup of water sat on the tray he carried. Abe hung his head, as abashed as Honorato had been. \xe2\x80\x9cThis is all I could sneak in for now. I\'ll try to get more later.\xe2\x80\x9d\n1530, John Palsgrave, L\'\xc3\xa9claircissement de la langue fran\xc3\xa7aise, 325 2:Stale as breed or drinke is, rassis. Stale as meate is that begynneth to savoure, viel.\nc. 1550, Wyll of Deuill, C 2 b:New freshe blood to ouersprinkle their stale mete that it may seme...newly kylled.\n2012, Stephen Woodworth, In Golden Blood: Number 3 in seriesTo her surprise, Abe did not come to collect her for the usual morning inhabitation session with Azure. She did not see him until almost noon, when he personally delivered lunch to her tent. Another stale roll and cup of water sat on the tray he carried. Abe hung his head, as abashed as Honorato had been. \xe2\x80\x9cThis is all I could sneak in for now. I\'ll try to get more later.\xe2\x80\x9d\nNo longer fresh, new, or interesting, in reference to ideas and immaterial things; cliche, hackneyed, dated.1562, in J. Heywood, Proverbs & Epigrams (1867), 95:Better is...be it new or stale, A harmelesse lie, than a harmefull true tale.1579, in G. Harvey, letter book, 60:Doist thou smyle to reade this stale and beggarlye stuffe.1604, William Shakespeare, Hamlet, I ii 133:How wary, stale, flat, and vnprofitable Seeme to me all the vses of this world?1822 March, Charles Lamb, London Magazine, 284 1:A two-days-old newspaper. You resent the stale thing as an affront.2002, Mark Lawson, And They Rose Up: Days of RetributionRick would comment on the fact that he\'d never had such bad coffee, not even the mud at his precinct. Mark would tell him to quit with the stale joke, already\n1562, in J. Heywood, Proverbs & Epigrams (1867), 95:Better is...be it new or stale, A harmelesse lie, than a harmefull true tale.\n1579, in G. Harvey, letter book, 60:Doist thou smyle to reade this stale and beggarlye stuffe.\n1604, William Shakespeare, Hamlet, I ii 133:How wary, stale, flat, and vnprofitable Seeme to me all the vses of this world?\n1822 March, Charles Lamb, London Magazine, 284 1:A two-days-old newspaper. You resent the stale thing as an affront.\n2002, Mark Lawson, And They Rose Up: Days of RetributionRick would comment on the fact that he\'d never had such bad coffee, not even the mud at his precinct. Mark would tell him to quit with the stale joke, already\nNo longer nubile or suitable for marriage, in reference to people; past one\'s prime.c. 1580, J. Jeffere, Bugbears, I ii 108:Rosimunda...hathe an vncle a stale batcheler.1742, T. Short, Philosophical Transactions of the Royal Society, 42 226:In barren Women, and stale Maids, Tapping should be very cautiously undertaken.\nc. 1580, J. Jeffere, Bugbears, I ii 108:Rosimunda...hathe an vncle a stale batcheler.\n1742, T. Short, Philosophical Transactions of the Royal Society, 42 226:In barren Women, and stale Maids, Tapping should be very cautiously undertaken.\n(agriculture, obsolete) Fallow, in reference to land.1764, Museum Rusticum, II 306:Lime would do very little or no good on stale ploughed lands.\n1764, Museum Rusticum, II 306:Lime would do very little or no good on stale ploughed lands.\n(law) Unreasonably long in coming, in reference to claims and actions.a stale affidavita stale demand1769, William Blackstone, Common Laws of England, IV xv 211:The jury will rarely give credit to a stale complaint.\n1769, William Blackstone, Common Laws of England, IV xv 211:The jury will rarely give credit to a stale complaint.\nTaking a long time to change2014, David L. Hough, Street Strategies for MotorcyclistsIn most states, you can be ticketed for failing to clear the intersection, even if you are hemmed in by traffic. One good clue to a stale green light is the pedestrian signal.\n2014, David L. Hough, Street Strategies for MotorcyclistsIn most states, you can be ticketed for failing to clear the intersection, even if you are hemmed in by traffic. One good clue to a stale green light is the pedestrian signal.\nWorn out, particularly due to age or over-exertion, in reference to athletes and animals in competition.1856, ""Stonehenge"", Manual of British Rural Sports, II i vi \xc2\xa77 335:By this means the [horse\'s] legs are not made more stale than necessary.1885 May 28, Truth, 853 2:Dame Agnes will probably be stale after her exertions in the Derby.\n1856, ""Stonehenge"", Manual of British Rural Sports, II i vi \xc2\xa77 335:By this means the [horse\'s] legs are not made more stale than necessary.\n1885 May 28, Truth, 853 2:Dame Agnes will probably be stale after her exertions in the Derby.\n(finance) Out of date, unpaid for an unreasonable amount of time, particularly in reference to checks.1901, Business Terms & Phrases second edition, 199:Stale cheque,...a cheque which has remained unpaid for some considerable time.\n1901, Business Terms & Phrases second edition, 199:Stale cheque,...a cheque which has remained unpaid for some considerable time.'"
stalking,"stalking
present participle of stalk"
stalling,The present participle of stall.
stalls,The plural form of stall; more than one stall.
stamp,A little coloured square of paper that someone sticks to a letter when they want to send the letter.
stampede,A stampede is when a group of people or animals runs away in a panic.
Stan,
stand,"When you stand, your body is at rest and supported only by your feet."
stands,The third-person singular form of stand.
star,A star is a bright thing in the sky at night.
start,The beginning of something in place or time.
startle,A startle is a shock or a fright. Usage of 'startle' as a noun in English is rare.
starts,The plural form of start; more than one start.
starve,"When you starve, you die from not having enough food."
stash,"stash (plural stashes)
A collection, sometimes hidden; a reserve.They had quite a stash of food saved up for emergencies."
statements,The plural form of statement; more than one statement.
statue,"b'a statue of a detective\nA three-dimensional work of art, usually representing a person or animal, usually created by sculpting, carving, molding, or casting.ShakespeareI will raise her statue in pure gold.2017 October 8,  John Oliver,  \xe2\x80\x9cConfederacy\xe2\x80\x9d, in  Last Week Tonight with John Oliver, season 4, episode 26, HBO:It\xe2\x80\x99s true, Robert E. Lee was opposed to statues of people like Robert E. Lee! So any city that decides to keep a statue of him should, at the very least, add a speech bubble saying, \xe2\x80\x9cYou know, I specifically told you all not to do this.\xe2\x80\x9d!\nShakespeareI will raise her statue in pure gold.\n2017 October 8,  John Oliver,  \xe2\x80\x9cConfederacy\xe2\x80\x9d, in  Last Week Tonight with John Oliver, season 4, episode 26, HBO:It\xe2\x80\x99s true, Robert E. Lee was opposed to statues of people like Robert E. Lee! So any city that decides to keep a statue of him should, at the very least, add a speech bubble saying, \xe2\x80\x9cYou know, I specifically told you all not to do this.\xe2\x80\x9d!\n(dated) A portrait.(Can we find and add a quotation of Massinger to this entry?)'"
stay,"When you stay, you do not move from where you are."
steady,"Smooth, not bumpy."
steak,A steak is a broiled piece of beef that comes from a cow.
steal,"If you steal, you take somebody's money or things without their permission."
steam,"A substance like air, made of water that is very hot."
steamed,"steamed (comparative more steamed, superlative most steamed)
Cooked by steaming.1996, The Simpsons, 22 Short Films About SpringfieldSuperintendent Chalmers: ""Why is there smoke coming out of your oven, Seymour?""Seymour Skinner: ""Uh- Oh. That isn't smoke. It's steam. Steam from the steamed clams we're having. Mmm. Steamed clams.""
1996, The Simpsons, 22 Short Films About SpringfieldSuperintendent Chalmers: ""Why is there smoke coming out of your oven, Seymour?""Seymour Skinner: ""Uh- Oh. That isn't smoke. It's steam. Steam from the steamed clams we're having. Mmm. Steamed clams.""
(slang) Angry, hot under the collar.He was steamed that the car cut him off. It took almost half an hour for him to calm down.
He was steamed that the car cut him off. It took almost half an hour for him to calm down."
steed,"b'steed (plural steeds)\n(archaic, poetic) A stallion, especially in the sense of mount.The studded bridle on a ragged boughNimbly she fastens: -- O, how quick is love! --The steed is stalled up, and even nowTo tie the rider she begins to prove:Backward she push\'d him, as she would be thrust,And govern\'d him in strength, though not in lust. \xe2\x80\x94 Shakespeare, ""Venus and Adonis"".\n(cycling, slang, humorous) A bicycle.'"
steep,"If a hill or slope is steep, it goes up at a high angle."
stem,"A long, thin thing joining parts of a plant."
stems,The plural form of stem; more than one stem.
stench,"stench (plural stenches)
a strong foul smell, a stink
(figuratively) a foul qualitythe stench of political corruption
(obsolete) A smell or odour, not necessarily bad.DrydenClouds of savoury stench involve the sky.
DrydenClouds of savoury stench involve the sky."
step,"When you step, you move one foot."
Stephen,
steps,The third-person singular form of step.
stern,"b'stern (comparative sterner, superlative sternest)\nHaving a hardness and severity of nature or manner.John Drydenstern as tutors, and as uncles hard2013 June 22,  \xe2\x80\x9cSnakes and ladders\xe2\x80\x9d, in  The Economist, volume 407, number 8841, page 76:Risk is everywhere. From tabloid headlines insisting that coffee causes cancer (yesterday, of course, it cured it) to stern government warnings about alcohol and driving, the world is teeming with goblins.\nJohn Drydenstern as tutors, and as uncles hard\n2013 June 22,  \xe2\x80\x9cSnakes and ladders\xe2\x80\x9d, in  The Economist, volume 407, number 8841, page 76:Risk is everywhere. From tabloid headlines insisting that coffee causes cancer (yesterday, of course, it cured it) to stern government warnings about alcohol and driving, the world is teeming with goblins.\nGrim and forbidding in appearance.William Wordsworththese barren rocks, your stern inheritance\nWilliam Wordsworththese barren rocks, your stern inheritance'"
Steve,
Steven,
Steve's,
stew,"b""stew (usually uncountable, plural stews)\n(obsolete) A cooking-dish used for boiling; a cauldron. [14th-17thc.]\n(now  historical) A heated bath-room or steam-room; also, a hot bath. [from 14thc.]1485, Sir Thomas Malory, chapter primum, in Le Morte Darthur, book XI:And when he came to the chamber there as this lady was the dores of yron vnlocked and vnbolted / And so syr launcelot wente in to the chambre that was as hote as ony stewe / And there syr launcelot toke the fayrest lady by the hand / that euer he sawe / and she was naked as a nedel\n1485, Sir Thomas Malory, chapter primum, in Le Morte Darthur, book XI:And when he came to the chamber there as this lady was the dores of yron vnlocked and vnbolted / And so syr launcelot wente in to the chambre that was as hote as ony stewe / And there syr launcelot toke the fayrest lady by the hand / that euer he sawe / and she was naked as a nedel\n(archaic) A brothel. [from 14thc.]1681, John Dryden, Absalom and AchitophelAnd rak'd, for converts, even the court and stews.1835, Thomas Babington Macaulay, Sir James MackintoshBecause he was chaste, the precinct of his temple is filled with licensed stews.1977, G\xc3\xa3mini Salg\xc3\xa3do, The Elizabethan Underworld, Folio Society, 2006, p.37:Although whores were permitted to sit at the door of the stew, they could not solicit in any way nor \xe2\x80\x98chide or throw stones\xe2\x80\x99 at passers-by.\n1681, John Dryden, Absalom and AchitophelAnd rak'd, for converts, even the court and stews.\n1835, Thomas Babington Macaulay, Sir James MackintoshBecause he was chaste, the precinct of his temple is filled with licensed stews.\n1977, G\xc3\xa3mini Salg\xc3\xa3do, The Elizabethan Underworld, Folio Society, 2006, p.37:Although whores were permitted to sit at the door of the stew, they could not solicit in any way nor \xe2\x80\x98chide or throw stones\xe2\x80\x99 at passers-by.\n(obsolete) A prostitute.(Can we find and add a quotation of Sir A. Weldon to this entry?)\n(uncountable, countable) A dish cooked by stewing. [from 18thc.]1870, Charles Dickens, The Mystery of Edwin Drood, Wordsworth Classics, 1998, p.367:I noticed then that there was nothing to drink on the table but brandy, and nothing to eat but salted herrings, and a hot, sickly, highly peppered stew.\n1870, Charles Dickens, The Mystery of Edwin Drood, Wordsworth Classics, 1998, p.367:I noticed then that there was nothing to drink on the table but brandy, and nothing to eat but salted herrings, and a hot, sickly, highly peppered stew.\n(Sussex) A pool in which fish are kept in preparation for eating; a stew pond.\n(US, regional) An artificial bed of oysters.\n(slang) A state of agitated excitement, worry, and/or confusion.to be in a stew"""
stiff,Not able to be bent.
still,Now like in the past.
stingy,"b'stingy (comparative stingier, superlative stingiest)\nUnwilling to spend, give, or share; ungenerous; mean1909, Lucy Maud Montgomery, Anne of Avonlea Chapter XVIII""Well, I\'m doing my best to grow,"" said Davy, ""but it\'s a thing you can\'t hurry much. If Marilla wasn\'t so stingy with her jam I believe I\'d grow a lot faster.""\n1909, Lucy Maud Montgomery, Anne of Avonlea Chapter XVIII""Well, I\'m doing my best to grow,"" said Davy, ""but it\'s a thing you can\'t hurry much. If Marilla wasn\'t so stingy with her jam I believe I\'d grow a lot faster.""\nSmall, scant, meager, insufficient2014 September 7,  Natalie Angier,  \xe2\x80\x9cThe Moon comes around again [print version: Revisiting a moon that still has secrets to reveal: Supermoon revives interest in its violent origins and hidden face, International New York Times, 10 September 2014, p.\xc2\xa08]\xe2\x80\x9d, in  The New York Times\xe2\x80\x8e[1]:As the moon wheels around Earth every 28 days and shows us a progressively greater and then stingier slice of its sun-lightened face, the distance between the moon and Earth changes, too. At the nearest point along its egg-shaped orbit, its perigee, the moon may be 26,000 miles closer to us than it is at its far point.\n2014 September 7,  Natalie Angier,  \xe2\x80\x9cThe Moon comes around again [print version: Revisiting a moon that still has secrets to reveal: Supermoon revives interest in its violent origins and hidden face, International New York Times, 10 September 2014, p.\xc2\xa08]\xe2\x80\x9d, in  The New York Times\xe2\x80\x8e[1]:As the moon wheels around Earth every 28 days and shows us a progressively greater and then stingier slice of its sun-lightened face, the distance between the moon and Earth changes, too. At the nearest point along its egg-shaped orbit, its perigee, the moon may be 26,000 miles closer to us than it is at its far point.'"
stinks,The third-person singular form of stink.
stir,Stir is when you move something in a circular movement.
stitch,"A stitch is a little circle of thread, used to join cloth together."
stock,"Your stock is the collection of things that you have available, usually to sell."
stocking,A piece of clothing made of thin cloth to cover the legs.
stocks,The plural form of stock; more than one stock.
stole,The past tense of steal.
stomp,"stomp (third-person singular simple present stomps, present participle stomping, simple past and past participle stomped)
(transitive, intransitive) To trample heavily.
(transitive, slang) To severely beat someone physically or figuratively."
stone,"A stone is a hard, solid piece of earth."
stones,The plural form of stone; more than one stone.
stoneware,"stoneware (countable and uncountable, plural stonewares)
A type of pottery that is fired at a high temperature and is dense, opaque and nonporous."
stood,The past tense and past participle of stand.
stool,"b'stool (plural stools)\nA seat for one person without a back or armrest, particularly:A footstool.(now  chiefly  dialectal, Scotland) A seat; a seat with a back; a chair.(now  chiefly  dialectal, Scotland, literally and figuratively) Throne.(horticulture) A plant that has been cut down until its main stem is close to the ground, resembling a stool, to promote new growth.1827,  Robert Monteath,  Miscellaneous Reports on Woods and Plantations, Shewing a Method to Plant, Rear, and Recover all Woods, Plantations and Timber Trees on every Soil and Situation in Britain and Ireland [...], Dundee: Printed and sold by James Chalmers [et al.], OCLC 65255049, page 51:The ground in almost every part of it is covered with stools or stems of Oak, at not more than three feet stool from stool, and these not having been thinned since last cutting, are completely overburdened, and are evidently killing each other and dying for want of nourishment [\xe2\x80\xa6] 2011, Caula A. Beyl; Robert N. Trigiano, editors, Plant Propagation Concepts and Laboratory Exercises, 2nd edition, Boca Raton, Fla.: CRC Press, ISBN 978-1-4200-6508-4, pages 88 and 154:With stool bedding, the plants are pruned back to the ground in the dormant season, and the shoots that form in the spring have juvenile characteristics and are called ""juvenile reversion shoots."" Stool bedding or stool bed layering is a common practice for the production of rootstocks of apple. [\xe2\x80\xa6] The closer the apical meristem is to the roots of the plant, the more juvenile it is likely to be. This feature is exploited by techniques such as hedging or stool bedding that employ severe pruning to decrease the distance between the new growth and the root system, thus acting to rejuvenate the plant and benefit from the ease of rooting that is characteristic of the juvenile phase.2012, Michael Allaby, editor, A Dictionary of Plant Sciences, 3rd edition, Oxford: Oxford University Press, ISBN 978-0-19-960057-1, pages 125 and 486:A coppice may be large, in which case trees, usually ash (Fraxinus) or maple (Acer) are cut, leaving a massive stool from which up to 10 trunks arise; or small, in which case trees, usually hazel (Corylus), hawthorn (Crataegus), or willow (Salix), are cut to leave small, underground stools producing many short stems. [\xe2\x80\xa6] One consequence of coppicing is that the stool enlarges because each subsequent growth of shoots occurs on its outside. The diameter of a stool is thus directly related to its age. [\xe2\x80\xa6] stool 1. A tree stump that is capable of producing new shoots. 2. The permanent base of a *coppiced tree.(obsolete) A seat used for urination and defecation: a chamberpot, commode, outhouse seat, or toilet.\nA footstool.\n(now  chiefly  dialectal, Scotland) A seat; a seat with a back; a chair.\n(now  chiefly  dialectal, Scotland, literally and figuratively) Throne.\n(horticulture) A plant that has been cut down until its main stem is close to the ground, resembling a stool, to promote new growth.1827,  Robert Monteath,  Miscellaneous Reports on Woods and Plantations, Shewing a Method to Plant, Rear, and Recover all Woods, Plantations and Timber Trees on every Soil and Situation in Britain and Ireland [...], Dundee: Printed and sold by James Chalmers [et al.], OCLC 65255049, page 51:The ground in almost every part of it is covered with stools or stems of Oak, at not more than three feet stool from stool, and these not having been thinned since last cutting, are completely overburdened, and are evidently killing each other and dying for want of nourishment [\xe2\x80\xa6] 2011, Caula A. Beyl; Robert N. Trigiano, editors, Plant Propagation Concepts and Laboratory Exercises, 2nd edition, Boca Raton, Fla.: CRC Press, ISBN 978-1-4200-6508-4, pages 88 and 154:With stool bedding, the plants are pruned back to the ground in the dormant season, and the shoots that form in the spring have juvenile characteristics and are called ""juvenile reversion shoots."" Stool bedding or stool bed layering is a common practice for the production of rootstocks of apple. [\xe2\x80\xa6] The closer the apical meristem is to the roots of the plant, the more juvenile it is likely to be. This feature is exploited by techniques such as hedging or stool bedding that employ severe pruning to decrease the distance between the new growth and the root system, thus acting to rejuvenate the plant and benefit from the ease of rooting that is characteristic of the juvenile phase.2012, Michael Allaby, editor, A Dictionary of Plant Sciences, 3rd edition, Oxford: Oxford University Press, ISBN 978-0-19-960057-1, pages 125 and 486:A coppice may be large, in which case trees, usually ash (Fraxinus) or maple (Acer) are cut, leaving a massive stool from which up to 10 trunks arise; or small, in which case trees, usually hazel (Corylus), hawthorn (Crataegus), or willow (Salix), are cut to leave small, underground stools producing many short stems. [\xe2\x80\xa6] One consequence of coppicing is that the stool enlarges because each subsequent growth of shoots occurs on its outside. The diameter of a stool is thus directly related to its age. [\xe2\x80\xa6] stool 1. A tree stump that is capable of producing new shoots. 2. The permanent base of a *coppiced tree.\n1827,  Robert Monteath,  Miscellaneous Reports on Woods and Plantations, Shewing a Method to Plant, Rear, and Recover all Woods, Plantations and Timber Trees on every Soil and Situation in Britain and Ireland [...], Dundee: Printed and sold by James Chalmers [et al.], OCLC 65255049, page 51:The ground in almost every part of it is covered with stools or stems of Oak, at not more than three feet stool from stool, and these not having been thinned since last cutting, are completely overburdened, and are evidently killing each other and dying for want of nourishment [\xe2\x80\xa6]\n2011, Caula A. Beyl; Robert N. Trigiano, editors, Plant Propagation Concepts and Laboratory Exercises, 2nd edition, Boca Raton, Fla.: CRC Press, ISBN 978-1-4200-6508-4, pages 88 and 154:With stool bedding, the plants are pruned back to the ground in the dormant season, and the shoots that form in the spring have juvenile characteristics and are called ""juvenile reversion shoots."" Stool bedding or stool bed layering is a common practice for the production of rootstocks of apple. [\xe2\x80\xa6] The closer the apical meristem is to the roots of the plant, the more juvenile it is likely to be. This feature is exploited by techniques such as hedging or stool bedding that employ severe pruning to decrease the distance between the new growth and the root system, thus acting to rejuvenate the plant and benefit from the ease of rooting that is characteristic of the juvenile phase.\n2012, Michael Allaby, editor, A Dictionary of Plant Sciences, 3rd edition, Oxford: Oxford University Press, ISBN 978-0-19-960057-1, pages 125 and 486:A coppice may be large, in which case trees, usually ash (Fraxinus) or maple (Acer) are cut, leaving a massive stool from which up to 10 trunks arise; or small, in which case trees, usually hazel (Corylus), hawthorn (Crataegus), or willow (Salix), are cut to leave small, underground stools producing many short stems. [\xe2\x80\xa6] One consequence of coppicing is that the stool enlarges because each subsequent growth of shoots occurs on its outside. The diameter of a stool is thus directly related to its age. [\xe2\x80\xa6] stool 1. A tree stump that is capable of producing new shoots. 2. The permanent base of a *coppiced tree.\n(obsolete) A seat used for urination and defecation: a chamberpot, commode, outhouse seat, or toilet.\n(chiefly medicine) Feces, excrement.2014,  David R. Fleisher,  Management of Functional Gastrointestinal Disorders in Children: Biopsychosocial Concepts for Clinical Practice, New York, N.Y.: Springer, ISBN 978-1-4939-1088-5, page 79:Two days prior to the consultation, an abdominal radiograph was done because the patient hadn\'t stooled in a week. No signs of obstruction and no abnormal accumulations of stool were found.\n2014,  David R. Fleisher,  Management of Functional Gastrointestinal Disorders in Children: Biopsychosocial Concepts for Clinical Practice, New York, N.Y.: Springer, ISBN 978-1-4939-1088-5, page 79:Two days prior to the consultation, an abdominal radiograph was done because the patient hadn\'t stooled in a week. No signs of obstruction and no abnormal accumulations of stool were found.\n(chiefly medicine) A production of feces or excrement, an act of defecation, stooling: a shit.2004,  Gary A. Emmett,  Field Guide to the Normal Newborn, Philadelphia, Pa.: Lippincott Williams & Wilkins, ISBN 978-0-7817-2877-5, page 132:Normal stooling is widely variant. Some infants only have one stool per day, especially those on formula feeding. Others may stool with each feeding. Such frequent stooling is common in breast-fed infants during the first month of life.\n2004,  Gary A. Emmett,  Field Guide to the Normal Newborn, Philadelphia, Pa.: Lippincott Williams & Wilkins, ISBN 978-0-7817-2877-5, page 132:Normal stooling is widely variant. Some infants only have one stool per day, especially those on formula feeding. Others may stool with each feeding. Such frequent stooling is common in breast-fed infants during the first month of life.\n(archaic) A decoy.\n(nautical) A small channel on the side of a vessel, for the deadeyes of the backstays.(Can we find and add a quotation of Totten to this entry?)\n(US, dialect) Material, such as oyster shells, spread on the sea bottom for oyster spat to adhere to.'"
stop,"If you stop, you do not move; you rest.

Synonyms: brake, desist and halt


Antonyms: continue, go, move and proceed"
stork,"stork (plural storks)
A large wading bird with long legs and a long beak of the family Ciconiidae.
(children's folklore) The mythical bringer of babies to families, or good news.
(cartomancy) The seventeenth Lenormand card."
storm,A storm is bad weather with high winds that disturbs the atmosphere.
storms,The plural form of storm; more than one storm.
story,A story is a piece of text that tells someone who reads it about a real or fictional  event.
stove,A stove is a machine that is used to heat a room.
straight,"If something goes straight, it continues to move in one direction without turning."
strained,The past tense and past participle of strain.
strange,Unusual or odd.
strangle,"b'A drawing showing a woman being strangled.\n(transitive) To kill someone by squeezing the throat so as to cut off the oxygen supply; to choke, suffocate or throttle.He strangled his wife and dissolved the body in acid.\n(transitive) To stifle or suppress an action.She strangled a scream.\n(intransitive) To be killed by strangulation, or become strangled.The cat slipped from the branch and strangled on its bell-collar.\n(intransitive) To be stifled, choked, or suffocated in any manner.ShakespeareShall I not then be stifled in the vault, [\xe2\x80\xa6] And there die strangled ere my Romeo comes?\nShakespeareShall I not then be stifled in the vault, [\xe2\x80\xa6] And there die strangled ere my Romeo comes?'"
strategy,A strategy is a planned way to do something.
straw,"Straw is dried grasses, such as wheat, without the seeds. Animals sleep on it, and people make hats and mats out of it."
straws,The plural form of straw; more than one straw.
stream,A very small river or creek.
strength,"If you have strength you are strong.

If you have strength your muscles are very powerful.


Strength can also mean you are strong or tough is some other way, such as a strong mind or strong will.

She needed great strength to deal with her sickness and poverty."
strengths,The plural form of strength; more than one strength.
strep,"strep (uncountable)
(pathology) Abbreviation of strep throat.
Abbreviation of streptococcus."
stress,Stress is emotional pressure that makes you worry because things are not going well.
stressful,"stressful (comparative more stressful, superlative most stressful)
Irritating; causing stress.Richard Nelson BollesI have always argued that change becomes stressful and overwhelming only when you've lost any sense of the constancy of your life. You need firm ground to stand on. From there, you can deal with that change.'
Richard Nelson BollesI have always argued that change becomes stressful and overwhelming only when you've lost any sense of the constancy of your life. You need firm ground to stand on. From there, you can deal with that change.'"
stretch,To pull; to move one end of something as far as possible from the other end.
stretches,The third-person singular form of stretch.
strike,"When you hit something, you strike it."
strikes,The third-person singular form of strike.
string,"A long, thin and flexible cord that is used for tying."
strip,"A strip is a narrow, long piece of something."
stripe,"A long, thin part of something which is a different colour from the parts beside it."
stripes,The plural form of stripe; more than one stripe.
strips,The plural form of strip; more than one strip.
stroke,A stroke is when blood stops coming into your brain.
stroll,"When you stroll, you walk slowly, usually when you are enjoying the environment around you.

Synonym: walk


Antonym: run"
strolls,The third-person singular form of stroll.
strong,Having big muscles; physically powerful.
struck,The past tense and past participle of strike.
struggle,"If you struggle to do something difficult, you work very hard to do it."
stub,A stub is a short piece of something left when the rest has been used.
stubborn,Refusing to move or to change one's opinion; obstinate.
stuck,The past tense and past participle of stick.
stud,A stud type of game in the card game poker.
student,"A student is person who studies a subject, especially in a school."
studio,A studio is a place where an artist makes art
study,"A study is a formal effort to learn about something, usually with a written report at the end."
stuff,Stuff is what makes up something; the things that it is made from.
stump,"b""stump (plural stumps)\nThe remains of something that has been cut off; especially the remains of a tree, the remains of a limb.\n(politics) The place or occasion at which a campaign takes place; the husting.\n(figuratively) A place or occasion at which a person harangues or otherwise addresses a group in a manner suggesting political oration.1886, Henry James, The Princess Casamassima.Paul Muniment had taken hold of Hyacinth, and said, 'I'll trouble you to stay, you little desperado. I'll be blowed if I ever expected to see you on the stump!'\n1886, Henry James, The Princess Casamassima.Paul Muniment had taken hold of Hyacinth, and said, 'I'll trouble you to stay, you little desperado. I'll be blowed if I ever expected to see you on the stump!'\n(cricket) One of three small wooden posts which together with the bails make the wicket and that the fielding team attempt to hit with the ball.\n(drawing) An artists\xe2\x80\x99 drawing tool made of rolled paper used to smudge or blend marks made with charcoal, Cont\xc3\xa9 crayon, pencil or other drawing media.\nA wooden or concrete pole used to support a house.\n(slang, humorous) A leg.to stir one's stumps\nA pin in a tumbler lock which forms an obstruction to throwing the bolt except when the gates of the tumblers are properly arranged, as by the key.\nA pin or projection in a lock to form a guide for a movable piece."""
stun,"When you stun something, you shock or scare someone and they can't react."
stung,The past participle of sting.
stunk,The past participle of stink.
stupidly,"stupidly (comparative more stupidly, superlative most stupidly)
In a stupid manner."
sty,"sty (plural sties)
A pen or enclosure for swine.
(figuratively) A messy, dirty or debauched place.MiltonTo roll with pleasure in a sensual sty.
MiltonTo roll with pleasure in a sensual sty."
style,"A style is a specific look, design, or way of dressing or acting."
sub,Short for submarine.
subcontract,"subcontract (third-person singular simple present subcontracts, present participle subcontracting, simple past and past participle subcontracted)
To contract out portions of a larger contracted project."
